date,keyword,category_id,value,geo,timeframe,fetched_at
2025-05-11,laptop,notebook,61,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-05-18,laptop,notebook,59,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-05-25,laptop,notebook,63,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-06-01,laptop,notebook,58,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-06-08,laptop,notebook,59,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-06-15,laptop,notebook,61,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-06-22,laptop,notebook,61,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-06-29,laptop,notebook,57,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-07-06,laptop,notebook,59,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-07-13,laptop,notebook,62,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-07-20,laptop,notebook,61,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-07-27,laptop,notebook,61,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-08-03,laptop,notebook,70,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-08-10,laptop,notebook,67,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-08-17,laptop,notebook,70,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-08-24,laptop,notebook,71,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-08-31,laptop,notebook,80,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-09-07,laptop,notebook,73,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-09-14,laptop,notebook,75,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-09-21,laptop,notebook,69,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-09-28,laptop,notebook,70,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-10-05,laptop,notebook,74,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-10-12,laptop,notebook,76,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-10-19,laptop,notebook,70,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-10-26,laptop,notebook,70,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-11-02,laptop,notebook,89,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-11-09,laptop,notebook,93,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-11-16,laptop,notebook,87,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-11-23,laptop,notebook,100,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-11-30,laptop,notebook,95,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-12-07,laptop,notebook,96,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-12-14,laptop,notebook,89,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-12-21,laptop,notebook,85,HU,today 12-m,2026-05-12T09:53:57+00:00
2025-12-28,laptop,notebook,72,HU,today 12-m,2026-05-12T09:53:57+00:00
2026-01-04,laptop,notebook,82,HU,today 12-m,2026-05-12T09:53:57+00:00
2026-01-11,laptop,notebook,79,HU,today 12-m,2026-05-12T09:53:57+00:00
2026-01-18,laptop,notebook,77,HU,today 12-m,2026-05-12T09:53:57+00:00
2026-01-25,laptop,notebook,79,HU,today 12-m,2026-05-12T09:53:57+00:00
2026-02-01,laptop,notebook,83,HU,today 12-m,2026-05-12T09:53:57+00:00
2026-02-08,laptop,notebook,94,HU,today 12-m,2026-05-12T09:53:57+00:00
2026-02-15,laptop,notebook,94,HU,today 12-m,2026-05-12T09:53:57+00:00
2026-02-22,laptop,notebook,91,HU,today 12-m,2026-05-12T09:53:57+00:00
2026-03-01,laptop,notebook,71,HU,today 12-m,2026-05-12T09:53:57+00:00
2026-03-08,laptop,notebook,67,HU,today 12-m,2026-05-12T09:53:57+00:00
2026-03-15,laptop,notebook,67,HU,today 12-m,2026-05-12T09:53:57+00:00
2026-03-22,laptop,notebook,68,HU,today 12-m,2026-05-12T09:53:57+00:00
2026-03-29,laptop,notebook,65,HU,today 12-m,2026-05-12T09:53:57+00:00
2026-04-05,laptop,notebook,60,HU,today 12-m,2026-05-12T09:53:57+00:00
2026-04-12,laptop,notebook,52,HU,today 12-m,2026-05-12T09:53:57+00:00
2026-04-19,laptop,notebook,59,HU,today 12-m,2026-05-12T09:53:57+00:00
2026-04-26,laptop,notebook,55,HU,today 12-m,2026-05-12T09:53:57+00:00
2026-05-03,laptop,notebook,51,HU,today 12-m,2026-05-12T09:53:57+00:00
2026-05-10,laptop,notebook,52,HU,today 12-m,2026-05-12T09:53:57+00:00
